city,street,segment_id,point_id,distance_m,lon,lat,heading_road,heading_sidewalk_right,heading_sidewalk_left,image_file,image_path,gsv_status,gsv_url_sidewalk
"Philadelphia, Pennsylvania, USA",Market Street,2,11,2750.0,-75.18959635979697,39.95562576344548,279.074524234315,9.074524234314993,189.074524234315,idx0043_seg2_pt11_h9.jpg,gsv_sidewalk_250m\idx0043_seg2_pt11_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95562576344548,-75.18959635979697&heading=9.074524234314993"
"Philadelphia, Pennsylvania, USA",Market Street,2,12,3000.0,-75.19181402159327,39.955897272548825,279.2854205420016,9.285420542001589,189.2854205420016,idx0044_seg2_pt12_h9.jpg,gsv_sidewalk_250m\idx0044_seg2_pt12_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.955897272548825,-75.19181402159327&heading=9.285420542001589"
"Philadelphia, Pennsylvania, USA",Market Street,2,13,3250.0,-75.19403038256264,39.95617503808552,279.28549539204613,9.28549539204613,189.28549539204613,idx0045_seg2_pt13_h9.jpg,gsv_sidewalk_250m\idx0045_seg2_pt13_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95617503808552,-75.19403038256264&heading=9.28549539204613"
"Philadelphia, Pennsylvania, USA",Market Street,2,14,3500.0,-75.1962466222368,39.95645278957144,279.15977372555443,9.15977372555443,189.15977372555443,idx0046_seg2_pt14_h9.jpg,gsv_sidewalk_250m\idx0046_seg2_pt14_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95645278957144,-75.1962466222368&heading=9.15977372555443"
"Philadelphia, Pennsylvania, USA",Market Street,2,15,3750.0,-75.19846376627298,39.95672682579654,279.1966653015386,9.196665301538587,189.1966653015386,idx0047_seg2_pt15_h9.jpg,gsv_sidewalk_250m\idx0047_seg2_pt15_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95672682579654,-75.19846376627298&heading=9.196665301538587"
"Philadelphia, Pennsylvania, USA",Market Street,2,16,4000.0,-75.20068068524381,39.95700195583254,279.195930690545,9.195930690545026,189.19593069054503,idx0048_seg2_pt16_h9.jpg,gsv_sidewalk_250m\idx0048_seg2_pt16_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95700195583254,-75.20068068524381&heading=9.195930690545026"
"Philadelphia, Pennsylvania, USA",Market Street,2,17,4250.0,-75.2028976082705,39.95727706290625,279.1930023005371,9.193002300537104,189.1930023005371,idx0049_seg2_pt17_h9.jpg,gsv_sidewalk_250m\idx0049_seg2_pt17_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95727706290625,-75.2028976082705&heading=9.193002300537104"
"Philadelphia, Pennsylvania, USA",Market Street,2,18,4500.0,-75.20511455107373,39.95755208219886,279.1960731640792,9.196073164079166,189.1960731640792,idx0050_seg2_pt18_h9.jpg,gsv_sidewalk_250m\idx0050_seg2_pt18_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95755208219886,-75.20511455107373&heading=9.196073164079166"
"Philadelphia, Pennsylvania, USA",Market Street,2,19,4750.0,-75.2073314745336,39.95782719144955,279.198565577834,9.19856557783396,189.198565577834,idx0051_seg2_pt19_h9.jpg,gsv_sidewalk_250m\idx0051_seg2_pt19_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95782719144955,-75.2073314745336&heading=9.19856557783396"
"Philadelphia, Pennsylvania, USA",Market Street,2,20,5000.0,-75.20954829865829,39.95810236312226,279.19171928555164,9.191719285551642,189.19171928555164,idx0052_seg2_pt20_h9.jpg,gsv_sidewalk_250m\idx0052_seg2_pt20_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95810236312226,-75.20954829865829&heading=9.191719285551642"
"Philadelphia, Pennsylvania, USA",Market Street,2,21,5250.0,-75.21176524945714,39.95837734103863,279.19171928555164,9.191719285551642,189.19171928555164,idx0053_seg2_pt21_h9.jpg,gsv_sidewalk_250m\idx0053_seg2_pt21_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95837734103863,-75.21176524945714&heading=9.191719285551642"
"Philadelphia, Pennsylvania, USA",Market Street,3,0,0.0,-75.1627087,39.9517882,0.0,90.0,270.0,idx0054_seg3_pt0_h90.jpg,gsv_sidewalk_250m\idx0054_seg3_pt0_h90.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9517882,-75.1627087&heading=90.0"
"Philadelphia, Pennsylvania, USA",Market Street,4,0,0.0,-75.16208359999999,39.9521953,0.0,90.0,270.0,idx0055_seg4_pt0_h90.jpg,gsv_sidewalk_250m\idx0055_seg4_pt0_h90.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9521953,-75.16208359999999&heading=90.0"
"Philadelphia, Pennsylvania, USA",Market Street,5,0,0.0,-75.14893379999998,39.950563,279.1327259335988,9.132725933598806,189.1327259335988,idx0056_seg5_pt0_h9.jpg,gsv_sidewalk_250m\idx0056_seg5_pt0_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.950563,-75.14893379999998&heading=9.132725933598806"
"Philadelphia, Pennsylvania, USA",Market Street,5,1,250.0,-75.15115110610117,39.95083625663821,279.2092765732448,9.20927657324478,189.2092765732448,idx0057_seg5_pt1_h9.jpg,gsv_sidewalk_250m\idx0057_seg5_pt1_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95083625663821,-75.15115110610117&heading=9.20927657324478"
"Philadelphia, Pennsylvania, USA",Market Street,5,2,500.0,-75.15336794680871,39.95111178453142,279.21370506740243,9.21370506740243,189.21370506740243,idx0058_seg5_pt2_h9.jpg,gsv_sidewalk_250m\idx0058_seg5_pt2_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95111178453142,-75.15336794680871&heading=9.21370506740243"
"Philadelphia, Pennsylvania, USA",Market Street,5,3,750.0,-75.1555847593301,39.95138744261448,279.20732460623003,9.207324606230031,189.20732460623003,idx0059_seg5_pt3_h9.jpg,gsv_sidewalk_250m\idx0059_seg5_pt3_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95138744261448,-75.1555847593301&heading=9.207324606230031"
"Philadelphia, Pennsylvania, USA",Market Street,5,4,1000.0,-75.15780161202345,39.95166291035967,279.21261243878337,9.212612438783369,189.21261243878337,idx0060_seg5_pt4_h9.jpg,gsv_sidewalk_250m\idx0060_seg5_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95166291035967,-75.15780161202345&heading=9.212612438783369"
"Philadelphia, Pennsylvania, USA",Market Street,5,5,1250.0,-75.16001842084772,39.95193853250244,279.21261243878337,9.212612438783369,189.21261243878337,idx0061_seg5_pt5_h9.jpg,gsv_sidewalk_250m\idx0061_seg5_pt5_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95193853250244,-75.16001842084772&heading=9.212612438783369"
"Philadelphia, Pennsylvania, USA",Market Street,6,0,0.0,-75.140369,39.9482223,358.0402910919279,88.04029109192788,268.0402910919279,idx0062_seg6_pt0_h88.jpg,gsv_sidewalk_250m\idx0062_seg6_pt0_h88.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9482223,-75.140369&heading=88.04029109192788"
"Philadelphia, Pennsylvania, USA",Market Street,6,1,250.0,-75.14043639371371,39.94973223844606,278.0449418496207,8.044941849620727,188.04494184962076,idx0063_seg6_pt1_h8.jpg,gsv_sidewalk_250m\idx0063_seg6_pt1_h8.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94973223844606,-75.14043639371371&heading=8.044941849620727"
"Philadelphia, Pennsylvania, USA",Market Street,6,2,500.0,-75.14265835517317,39.94997299421275,274.09276678459275,4.092766784592754,184.09276678459275,idx0064_seg6_pt2_h4.jpg,gsv_sidewalk_250m\idx0064_seg6_pt2_h4.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94997299421275,-75.14265835517317&heading=4.092766784592754"
"Philadelphia, Pennsylvania, USA",Market Street,6,3,750.0,-75.14488862185861,39.95009533244399,279.2436366577556,9.243636657755587,189.2436366577556,idx0065_seg6_pt3_h9.jpg,gsv_sidewalk_250m\idx0065_seg6_pt3_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95009533244399,-75.14488862185861&heading=9.243636657755587"
"Philadelphia, Pennsylvania, USA",Market Street,6,4,1000.0,-75.14710524671666,39.95037188242713,279.2436366577556,9.243636657755587,189.2436366577556,idx0066_seg6_pt4_h9.jpg,gsv_sidewalk_250m\idx0066_seg6_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95037188242713,-75.14710524671666&heading=9.243636657755587"
"Philadelphia, Pennsylvania, USA",Market Street,7,0,0.0,-75.14893379999998,39.950563,100.18953205014031,190.18953205014031,10.189532050140317,idx0067_seg7_pt0_h190.jpg,gsv_sidewalk_250m\idx0067_seg7_pt0_h190.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.950563,-75.14893379999998&heading=190.18953205014031"
"Philadelphia, Pennsylvania, USA",Market Street,7,1,250.0,-75.14672794080451,39.95025905772715,99.20642455521352,189.20642455521352,9.206424555213516,idx0068_seg7_pt1_h189.jpg,gsv_sidewalk_250m\idx0068_seg7_pt1_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95025905772715,-75.14672794080451&heading=189.20642455521352"
"Philadelphia, Pennsylvania, USA",Market Street,7,2,500.0,-75.14451108210687,39.94998361098005,99.39957893365306,189.39957893365303,9.39957893365306,idx0069_seg7_pt2_h189.jpg,gsv_sidewalk_250m\idx0069_seg7_pt2_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94998361098005,-75.14451108210687&heading=189.39957893365303"
"Philadelphia, Pennsylvania, USA",Market Street,7,3,750.0,-75.14229546135319,39.949702437290135,177.8968347051042,267.8968347051042,87.8968347051042,idx0070_seg7_pt3_h268.jpg,gsv_sidewalk_250m\idx0070_seg7_pt3_h268.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.949702437290135,-75.14229546135319&heading=267.8968347051042"
"Philadelphia, Pennsylvania, USA",Market Street,7,4,1000.0,-75.14222110353035,39.94815019580534,189.174445816702,279.174445816702,99.17444581670202,idx0071_seg7_pt4_h279.jpg,gsv_sidewalk_250m\idx0071_seg7_pt4_h279.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94815019580534,-75.14222110353035&heading=279.174445816702"
"Philadelphia, Pennsylvania, USA",Market Street,7,5,1250.0,-75.14257917401561,39.94645052017435,189.20821548379703,279.20821548379706,99.20821548379706,idx0072_seg7_pt5_h279.jpg,gsv_sidewalk_250m\idx0072_seg7_pt5_h279.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94645052017435,-75.14257917401561&heading=279.20821548379706"
