city,street,segment_id,point_id,distance_m,lon,lat,geometry
"Philadelphia, Pennsylvania, USA",Walnut Street,0,20,5000.0,-75.22992555692089,39.95752120407779,POINT (-75.22992555692089 39.95752120407779)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,21,5250.0,-75.23214246656252,39.95779637923403,POINT (-75.23214246656252 39.95779637923403)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,22,5500.0,-75.23435937610513,39.958071553778474,POINT (-75.23435937610513 39.958071553778474)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,23,5750.0,-75.2365762753609,39.95834677602954,POINT (-75.2365762753609 39.95834677602954)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,24,6000.0,-75.2387931693229,39.95862202219704,POINT (-75.2387931693229 39.95862202219704)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,25,6250.0,-75.24101027434676,39.95889622194584,POINT (-75.24101027434676 39.95889622194584)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,26,6500.0,-75.2432274722453,39.9591700238495,POINT (-75.2432274722453 39.9591700238495)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,27,6750.0,-75.24544466532515,39.95944384691967,POINT (-75.24544466532515 39.95944384691967)
"Philadelphia, Pennsylvania, USA",Walnut Street,1,0,0.0,-75.18527519999999,39.9535328,POINT (-75.18527519999999 39.9535328)
"Philadelphia, Pennsylvania, USA",Walnut Street,2,0,0.0,-75.18558860065002,39.95201562080295,POINT (-75.18558860065002 39.95201562080295)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,0,0.0,-75.142806,39.946641,POINT (-75.142806 39.946641)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,1,250.0,-75.14501419897479,39.94695356195097,POINT (-75.14501419897479 39.94695356195097)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,2,500.0,-75.14722692943248,39.9472477454297,POINT (-75.14722692943248 39.9472477454297)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,3,750.0,-75.1494425202921,39.94752828990708,POINT (-75.1494425202921 39.94752828990708)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,4,1000.0,-75.15166230602527,39.94778789847243,POINT (-75.15166230602527 39.94778789847243)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,5,1250.0,-75.15387943754448,39.9480617706057,POINT (-75.15387943754448 39.9480617706057)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,6,1500.0,-75.15609703399319,39.948333341618834,POINT (-75.15609703399319 39.948333341618834)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,7,1750.0,-75.15831341536723,39.94861099393741,POINT (-75.15831341536723 39.94861099393741)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,8,2000.0,-75.16053019913015,39.94888669989128,POINT (-75.16053019913015 39.94888669989128)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,9,2250.0,-75.16274677828208,39.94916316179459,POINT (-75.16274677828208 39.94916316179459)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,10,2500.0,-75.16496210771633,39.94944441926787,POINT (-75.16496210771633 39.94944441926787)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,11,2750.0,-75.16717800541043,39.94972427904038,POINT (-75.16717800541043 39.94972427904038)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,12,3000.0,-75.16939361234407,39.9500047145352,POINT (-75.16939361234407 39.9500047145352)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,13,3250.0,-75.17161147006787,39.9502751190716,POINT (-75.17161147006787 39.9502751190716)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,14,3500.0,-75.17382829761576,39.950550349902294,POINT (-75.17382829761576 39.950550349902294)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,15,3750.0,-75.17604462065138,39.95082790506369,POINT (-75.17604462065138 39.95082790506369)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,16,4000.0,-75.17826071842066,39.95110644815289,POINT (-75.17826071842066 39.95110644815289)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,17,4250.0,-75.18047529779135,39.95139161116535,POINT (-75.18047529779135 39.95139161116535)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,18,4500.0,-75.18269226297784,39.95166652691359,POINT (-75.18269226297784 39.95166652691359)
"Philadelphia, Pennsylvania, USA",Walnut Street,3,19,4750.0,-75.18491128438012,39.95193089821977,POINT (-75.18491128438012 39.95193089821977)
